Date,Item_ID,Item_Name,Category,Subcategory,Unit,Current_Stock,Reorder_Level,Daily_Usage,Lead_Time,Price_per_Unit,Supplier_Name,Seasonal_Factor,Waste_Percentage,Waste_Adjustment,Inventory_To_Order
2025-06-18,7,Eggs,Non-Veg,Poultry,pieces,20.93,6.05,8.0,2,6,Supplier B,1.48,0.06,0.0048,23.6848
2025-06-18,8,Rice,Veg,Grain,kg,19.06,6.69,0.69,3,70,Supplier C,0.98,4.6,0.03174,2.06034
2025-06-18,9,Sugar,Veg,Grocery,kg,9.76,4.16,3.63,1,50,Supplier A,1.12,3.48,0.126324,4.191924
2025-06-18,10,Milk,Veg,Dairy,liter,20.45,5.69,5.0,3,50,Supplier C,1.0,0.23,0.0115,15.0115
2025-06-19,1,Paneer,Veg,Dairy,kg,23.130000000000003,6.19,4.78,4,450,Supplier B,0.92,1.68,0.080304,17.670704000000004
2025-06-19,2,Tomato,Veg,Vegetable,kg,14.23,4.61,3.41,4,40,Supplier C,1.48,0.39,0.013299000000000002,20.200499
2025-06-19,3,Onion,Veg,Vegetable,kg,20.41,6.75,4.94,1,35,Supplier A,1.22,2.06,0.10176400000000001,6.128564000000001
2025-06-19,4,Chicken,Non-Veg,Meat,kg,8.72,3.53,1.72,2,250,Supplier A,1.31,4.75,0.0817,4.5881
2025-06-19,5,Mutton,Non-Veg,Meat,kg,14.53,9.53,3.26,2,600,Supplier B,0.92,2.76,0.08997599999999999,6.088376
2025-06-19,6,Rohu Fish,Non-Veg,Fish,kg,19.01,6.36,2.35,3,280,Supplier B,1.22,0.75,0.017625,8.618625000000002
2025-06-19,7,Eggs,Non-Veg,Poultry,pieces,28.55,8.89,9.0,1,6,Supplier B,0.83,0.32,0.028800000000000003,7.4988
2025-06-19,8,Rice,Veg,Grain,kg,6.3100000000000005,3.53,1.1,4,70,Supplier B,1.5,4.06,0.04466,6.644660000000001
2025-06-19,9,Sugar,Veg,Grocery,kg,18.31,8.38,4.98,1,50,Supplier A,1.06,3.79,0.18874200000000002,5.467542000000001
2025-06-19,10,Milk,Veg,Dairy,liter,16.759999999999998,3.9,5.0,3,50,Supplier A,0.95,1.37,0.0685,14.3185
2025-06-20,1,Paneer,Veg,Dairy,kg,20.8,3.33,4.45,3,450,Supplier C,1.27,0.57,0.025365,16.979865000000004
2025-06-20,2,Tomato,Veg,Vegetable,kg,19.42,6.64,2.84,4,40,Supplier B,1.48,4.08,0.115872,16.928672
2025-06-20,3,Onion,Veg,Vegetable,kg,17.779999999999998,7.13,0.9,3,35,Supplier B,1.33,0.14,0.0012600000000000003,3.5922600000000005
2025-06-20,4,Chicken,Non-Veg,Meat,kg,18.85,4.49,3.29,2,250,Supplier C,1.49,3.09,0.10166099999999999,9.905861
2025-06-20,5,Mutton,Non-Veg,Meat,kg,17.79,6.88,3.24,3,600,Supplier B,1.04,4.52,0.146448,10.255248
2025-06-20,6,Rohu Fish,Non-Veg,Fish,kg,19.56,5.78,2.81,3,280,Supplier B,1.29,2.62,0.073622,10.948322000000001
2025-06-20,7,Eggs,Non-Veg,Poultry,pieces,15.89,8.89,4.0,1,6,Supplier C,1.12,1.29,0.0516,4.5316
2025-06-20,8,Rice,Veg,Grain,kg,17.3,5.3,4.91,3,70,Supplier C,1.04,2.9,0.14239,15.461590000000001
2025-06-20,9,Sugar,Veg,Grocery,kg,14.82,7.09,2.92,3,50,Supplier A,1.25,0.69,0.020148,10.970148
2025-06-20,10,Milk,Veg,Dairy,liter,23.45,5.88,8.0,4,50,Supplier A,1.27,2.37,0.18960000000000002,40.8296
2025-06-21,1,Paneer,Veg,Dairy,kg,9.16,3.29,1.28,1,450,Supplier B,1.04,1.73,0.022144,1.353344
2025-06-21,2,Tomato,Veg,Vegetable,kg,13.87,6.74,0.64,4,40,Supplier B,1.05,1.03,0.006592000000000001,2.694592
2025-06-21,3,Onion,Veg,Vegetable,kg,18.13,3.28,2.77,1,35,Supplier A,1.28,2.41,0.066757,3.6123570000000003
2025-06-21,4,Chicken,Non-Veg,Meat,kg,10.15,5.64,2.8,1,250,Supplier B,1.36,1.38,0.038639999999999994,3.84664
2025-06-21,5,Mutton,Non-Veg,Meat,kg,11.64,4.47,3.87,3,600,Supplier C,0.97,4.62,0.178794,11.440494
2025-06-21,6,Rohu Fish,Non-Veg,Fish,kg,16.89,8.04,3.92,2,280,Supplier B,0.98,0.18,0.007056,7.690256
2025-06-21,7,Eggs,Non-Veg,Poultry,pieces,22.31,8.91,7.0,3,6,Supplier C,0.88,2.66,0.1862,18.6662
2025-06-21,8,Rice,Veg,Grain,kg,15.5,4.7,2.51,1,70,Supplier A,0.93,3.69,0.09261899999999999,2.426919
2025-06-21,9,Sugar,Veg,Grocery,kg,20.65,3.62,3.04,2,50,Supplier B,1.42,0.6,0.01824,8.65184
2025-06-21,10,Milk,Veg,Dairy,liter,16.11,5.49,4.0,1,50,Supplier B,0.86,2.49,0.09960000000000001,3.5396
2025-06-22,1,Paneer,Veg,Dairy,kg,16.72,8.22,2.92,1,450,Supplier C,1.07,2.82,0.082344,3.206744
2025-06-22,2,Tomato,Veg,Vegetable,kg,20.51,7.25,2.02,3,40,Supplier C,1.49,1.78,0.035956,9.065356000000001
2025-06-22,3,Onion,Veg,Vegetable,kg,11.79,3.71,3.23,2,35,Supplier A,1.14,1.83,0.059109,7.423508999999999
2025-06-22,4,Chicken,Non-Veg,Meat,kg,10.65,8.64,4.33,4,250,Supplier A,0.86,4.48,0.19398400000000002,15.089184000000001
2025-06-22,5,Mutton,Non-Veg,Meat,kg,14.02,9.88,2.86,3,600,Supplier B,1.2,4.48,0.12812800000000002,10.424128
2025-06-22,6,Rohu Fish,Non-Veg,Fish,kg,9.71,9.83,4.63,2,280,Supplier B,1.27,0.85,0.039355,11.799555
2025-06-22,7,Eggs,Non-Veg,Poultry,pieces,24.78,6.75,9.0,2,6,Supplier C,1.34,1.4,0.126,24.246000000000002
2025-06-22,8,Rice,Veg,Grain,kg,11.2,5.98,1.34,1,70,Supplier B,1.17,3.68,0.049312,1.617112
2025-06-22,9,Sugar,Veg,Grocery,kg,20.2,3.61,3.68,2,50,Supplier C,1.14,0.77,0.028336000000000004,8.418735999999999
2025-06-22,10,Milk,Veg,Dairy,liter,8.780000000000001,5.36,3.0,2,50,Supplier B,1.18,2.74,0.0822,7.1622
2025-06-23,1,Paneer,Veg,Dairy,kg,16.68,3.62,1.41,3,450,Supplier B,1.33,3.41,0.04808099999999999,5.6739809999999995
2025-06-23,2,Tomato,Veg,Vegetable,kg,15.25,5.88,3.18,2,40,Supplier C,1.4,0.53,0.016854,8.920854
2025-06-23,3,Onion,Veg,Vegetable,kg,14.99,9.53,3.86,3,35,Supplier C,0.93,4.69,0.181034,10.950434000000001
2025-06-23,4,Chicken,Non-Veg,Meat,kg,16.92,7.02,0.8,4,250,Supplier B,1.38,3.91,0.03128,4.447279999999999
2025-06-23,5,Mutton,Non-Veg,Meat,kg,20.87,8.78,3.88,1,600,Supplier C,1.27,4.07,0.157916,5.085516
2025-06-23,6,Rohu Fish,Non-Veg,Fish,kg,13.23,9.14,2.85,1,280,Supplier A,1.12,3.41,0.097185,3.2891850000000007
2025-06-23,7,Eggs,Non-Veg,Poultry,pieces,18.65,6.24,8.0,2,6,Supplier B,1.11,2.7,0.21600000000000003,17.976000000000003
2025-06-23,8,Rice,Veg,Grain,kg,13.43,5.74,3.1,2,70,Supplier B,1.43,2.72,0.08432,8.95032
2025-06-23,9,Sugar,Veg,Grocery,kg,10.06,9.58,3.31,3,50,Supplier A,1.29,3.65,0.12081499999999999,12.930515
2025-06-23,10,Milk,Veg,Dairy,liter,20.91,7.34,4.0,4,50,Supplier A,1.2,3.71,0.1484,19.348399999999998
2025-06-24,1,Paneer,Veg,Dairy,kg,21.28,7.95,4.99,3,450,Supplier B,0.82,3.72,0.18562800000000002,12.461027999999999
2025-06-24,2,Tomato,Veg,Vegetable,kg,19.5,9.14,3.06,1,40,Supplier B,1.18,0.51,0.015606000000000002,3.626406
2025-06-24,3,Onion,Veg,Vegetable,kg,14.06,7.23,2.2,3,35,Supplier B,0.9,3.99,0.08778000000000002,6.027780000000001
2025-06-24,4,Chicken,Non-Veg,Meat,kg,17.36,8.04,1.53,3,250,Supplier A,1.2,2.99,0.045747,5.553747
2025-06-24,5,Mutton,Non-Veg,Meat,kg,17.71,8.79,3.72,2,600,Supplier B,1.21,4.54,0.168888,9.171288
2025-06-24,6,Rohu Fish,Non-Veg,Fish,kg,14.23,9.63,2.3,4,280,Supplier A,0.9,4.56,0.10487999999999997,8.384879999999999
2025-06-24,7,Eggs,Non-Veg,Poultry,pieces,16.17,3.13,2.0,4,6,Supplier C,0.87,2.96,0.0592,7.0192
2025-06-24,8,Rice,Veg,Grain,kg,21.48,3.16,4.63,3,70,Supplier A,1.2,0.76,0.035188,16.703188
2025-06-24,9,Sugar,Veg,Grocery,kg,14.59,8.16,3.23,4,50,Supplier A,1.44,4.2,0.13566,18.740460000000002
2025-06-24,10,Milk,Veg,Dairy,liter,7.7,9.89,1.0,2,50,Supplier A,1.39,0.93,0.009300000000000001,2.7893
2025-06-25,1,Paneer,Veg,Dairy,kg,11.66,4.59,1.99,3,450,Supplier A,0.84,2.0,0.0398,5.054599999999999
2025-06-25,2,Tomato,Veg,Vegetable,kg,19.05,3.03,2.01,1,40,Supplier C,1.09,0.57,0.011456999999999997,2.202357
2025-06-25,3,Onion,Veg,Vegetable,kg,23.23,6.26,4.39,3,35,Supplier A,1.12,3.69,0.161991,14.912391
2025-06-25,4,Chicken,Non-Veg,Meat,kg,13.3,3.99,1.51,4,250,Supplier C,0.92,2.89,0.043639000000000004,5.600439
2025-06-25,5,Mutton,Non-Veg,Meat,kg,10.32,8.46,0.65,3,600,Supplier A,0.81,3.16,0.020540000000000003,1.6000400000000004
2025-06-25,6,Rohu Fish,Non-Veg,Fish,kg,11.16,9.73,3.49,1,280,Supplier B,1.4,2.79,0.09737100000000001,4.983371
2025-06-25,7,Eggs,Non-Veg,Poultry,pieces,20.53,7.17,8.0,1,6,Supplier C,1.1,1.99,0.1592,8.959200000000001
2025-06-25,8,Rice,Veg,Grain,kg,14.34,6.28,4.1,1,70,Supplier C,1.13,0.18,0.007379999999999999,4.6403799999999995
2025-06-25,9,Sugar,Veg,Grocery,kg,9.03,8.43,3.04,3,50,Supplier A,1.17,2.64,0.080256,10.750656000000001
2025-06-25,10,Milk,Veg,Dairy,liter,12.01,6.92,1.0,3,50,Supplier C,1.03,0.51,0.0051,3.0951
2025-06-26,1,Paneer,Veg,Dairy,kg,17.14,4.91,0.84,3,450,Supplier A,1.09,3.22,0.027048,2.7738480000000005
2025-06-26,2,Tomato,Veg,Vegetable,kg,7.95,8.01,0.61,1,40,Supplier A,1.19,2.04,0.012444,0.738344
2025-06-26,3,Onion,Veg,Vegetable,kg,9.58,6.54,1.64,4,35,Supplier C,1.36,0.52,0.008527999999999999,8.930128
2025-06-26,4,Chicken,Non-Veg,Meat,kg,16.09,4.67,1.3,2,250,Supplier C,1.49,4.03,0.052390000000000006,3.92639
2025-06-26,5,Mutton,Non-Veg,Meat,kg,20.31,9.74,3.21,4,600,Supplier A,0.94,3.34,0.10721399999999999,12.176814
2025-06-26,6,Rohu Fish,Non-Veg,Fish,kg,20.27,3.09,1.82,3,280,Supplier A,1.39,3.68,0.06697600000000001,7.656376
2025-06-26,7,Eggs,Non-Veg,Poultry,pieces,16.75,5.95,3.0,2,6,Supplier B,1.24,4.55,0.1365,7.576499999999999
2025-06-26,8,Rice,Veg,Grain,kg,19.39,5.54,2.01,3,70,Supplier B,1.24,1.34,0.026934,7.504133999999999
2025-06-26,9,Sugar,Veg,Grocery,kg,15.62,6.05,2.34,4,50,Supplier A,1.48,1.1,0.025740000000000002,13.87854
2025-06-26,10,Milk,Veg,Dairy,liter,14.71,6.96,8.0,3,50,Supplier C,1.36,4.47,0.3576,32.9976
2025-06-27,1,Paneer,Veg,Dairy,kg,7.75,4.88,2.41,4,450,Supplier C,1.08,3.49,0.084109,10.495309
2025-06-27,2,Tomato,Veg,Vegetable,kg,16.16,5.95,1.48,2,40,Supplier B,0.92,2.63,0.038924,2.7621240000000005
2025-06-27,3,Onion,Veg,Vegetable,kg,7.01,9.4,1.73,1,35,Supplier C,1.15,4.08,0.07058400000000001,2.060084
2025-06-27,4,Chicken,Non-Veg,Meat,kg,11.88,6.48,0.8,4,250,Supplier A,0.81,1.03,0.00824,2.6002400000000003
2025-06-27,5,Mutton,Non-Veg,Meat,kg,19.62,9.12,1.12,4,600,Supplier B,1.24,1.25,0.014000000000000002,5.5692
2025-06-27,6,Rohu Fish,Non-Veg,Fish,kg,16.32,8.87,2.72,1,280,Supplier B,1.16,1.92,0.052224,3.207424
2025-06-27,7,Eggs,Non-Veg,Poultry,pieces,9.49,8.17,2.0,3,6,Supplier B,1.34,0.45,0.009000000000000001,8.049000000000001
2025-06-27,8,Rice,Veg,Grain,kg,18.37,6.06,0.81,4,70,Supplier C,1.01,3.6,0.029160000000000005,3.3015600000000003
2025-06-27,9,Sugar,Veg,Grocery,kg,15.19,7.65,3.05,2,50,Supplier A,1.14,0.68,0.02074,6.974739999999999
2025-06-27,10,Milk,Veg,Dairy,liter,17.1,4.13,4.0,4,50,Supplier B,1.15,0.26,0.0104,18.4104
2025-06-28,1,Paneer,Veg,Dairy,kg,13.2,8.4,3.19,1,450,Supplier A,1.05,1.72,0.054868,3.404368
2025-06-28,2,Tomato,Veg,Vegetable,kg,17.93,7.19,2.36,1,40,Supplier A,1.37,1.23,0.029027999999999998,3.262228
2025-06-28,3,Onion,Veg,Vegetable,kg,19.52,4.91,4.1,2,35,Supplier B,1.02,0.52,0.02132,8.385319999999998
2025-06-28,4,Chicken,Non-Veg,Meat,kg,23.56,8.53,4.13,1,250,Supplier B,0.93,2.23,0.092099,3.932999
2025-06-28,5,Mutton,Non-Veg,Meat,kg,21.03,8.13,2.94,1,600,Supplier C,1.31,3.8,0.11172,3.96312
2025-06-28,6,Rohu Fish,Non-Veg,Fish,kg,23.08,9.32,3.37,4,280,Supplier B,1.49,1.11,0.037407,20.122607000000002
2025-06-28,7,Eggs,Non-Veg,Poultry,pieces,26.99,6.89,7.0,2,6,Supplier A,0.82,4.58,0.3206,11.8006
2025-06-28,8,Rice,Veg,Grain,kg,13.1,9.47,3.64,2,70,Supplier C,1.36,2.11,0.076804,9.977604
2025-06-28,9,Sugar,Veg,Grocery,kg,9.67,6.19,3.85,3,50,Supplier C,0.83,4.14,0.15939,9.745890000000001
2025-06-28,10,Milk,Veg,Dairy,liter,16.45,3.84,8.0,2,50,Supplier B,1.17,4.42,0.35359999999999997,19.0736
2025-06-29,1,Paneer,Veg,Dairy,kg,13.55,7.01,2.48,4,450,Supplier B,1.35,2.7,0.06696,13.458960000000001
2025-06-29,2,Tomato,Veg,Vegetable,kg,16.32,9.2,1.93,2,40,Supplier C,1.09,4.38,0.084534,4.2919339999999995
2025-06-29,3,Onion,Veg,Vegetable,kg,22.44,3.0,2.58,1,35,Supplier A,1.46,2.64,0.068112,3.834912
2025-06-29,4,Chicken,Non-Veg,Meat,kg,24.06,5.45,4.09,2,250,Supplier A,0.83,0.44,0.017996,6.807396
2025-06-29,5,Mutton,Non-Veg,Meat,kg,16.37,4.9,2.66,1,600,Supplier A,1.09,3.84,0.102144,3.0015440000000004
2025-06-29,6,Rohu Fish,Non-Veg,Fish,kg,18.46,4.67,2.4,3,280,Supplier C,1.01,2.34,0.056159999999999995,7.32816
